Geo Point;Geo Shape;Tipo di arredo;Data Aggiornamento;quartiere;area statistica;zona prossimita;Stato di conservazione
44.469407662604745, 11.379755725067746;"{""coordinates"": [11.379755725067746, 44.469407662604745], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-13;Savena;CORELLI;LUNGO SAVENA;DISCRETO
44.46937271252582, 11.379918557289146;"{""coordinates"": [11.379918557289146, 44.46937271252582], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-13;Savena;CORELLI;LUNGO SAVENA;BUONO
44.512052472483546, 11.28940853046326;"{""coordinates"": [11.28940853046326, 44.512052472483546], ""type"": ""Point""}";Panchine di altro tipo;2005-10-16;Borgo Panigale - Reno;TRIUMVIRATO-PIETRA;CASTELDEBOLE - PONTELUNGO;SCADENTE
44.46855057117028, 11.380046409226463;"{""coordinates"": [11.380046409226463, 44.46855057117028], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-14;Savena;CORELLI;LUNGO SAVENA;DISCRETO
44.4685353949516, 11.379992071388447;"{""coordinates"": [11.379992071388447, 44.4685353949516], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-14;Savena;CORELLI;LUNGO SAVENA;DISCRETO
44.468648155023985, 11.380087460883825;"{""coordinates"": [11.380087460883825, 44.468648155023985], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-14;Savena;CORELLI;LUNGO SAVENA;DISCRETO
44.47083488670003, 11.381779847698624;"{""coordinates"": [11.381779847698624, 44.47083488670003], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-20;Savena;CAVEDONE;PONTEVECCHIO - MAZZINI;DISCRETO
44.47792859763717, 11.382264257486195;"{""coordinates"": [11.382264257486195, 44.47792859763717], ""type"": ""Point""}";Tabelle (monitorie e indicative);2005-09-29;Savena;BITONE;PONTEVECCHIO - MAZZINI;BUONO
44.47768815182072, 11.382523153554205;"{""coordinates"": [11.382523153554205, 44.47768815182072], ""type"": ""Point""}";Tabelle (monitorie e indicative);2005-09-29;Savena;BITONE;PONTEVECCHIO - MAZZINI;BUONO
44.47778513485735, 11.382846646551545;"{""coordinates"": [11.382846646551545, 44.47778513485735], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-29;Savena;BITONE;PONTEVECCHIO - MAZZINI;SCADENTE
44.47781076755169, 11.382579750700582;"{""coordinates"": [11.382579750700582, 44.47781076755169], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-29;Savena;BITONE;PONTEVECCHIO - MAZZINI;DISCRETO
44.47793574439127, 11.382723375357074;"{""coordinates"": [11.382723375357074, 44.47793574439127], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-29;Savena;BITONE;PONTEVECCHIO - MAZZINI;DISCRETO
