Biblioteca;tipologia;indirizzo;quartiere;rete wi_fi;fasciatoio;newsletter;telefono;email;pagina web;sito web;Geo Point;Geo Shape;descrizione;superficie totale mq;superficie accessibile al pubblico;numero postazioni lettura;accessibilità;servizi igienici;aria condizionata;servizio fotocopie;area bambini;pagina facebook;pagina twitter;pagina instagram;pagina youtube;area statistica;zona di prossimità
Biblioteca dell'Archiginnasio;U.I. Biblioteche di ricerca e conservazione;Piazza Galvani, 1 40124 Bologna BO;Santo Stefano;sì;no;sì;051276811;archiginnasio@comune.bologna.it;https://www.bibliotechebologna.it/biblioteche/biblioteca-dell-archiginnasio;http://www.archiginnasio.it/;44.491964, 11.343657;"{""coordinates"": [[11.343657, 44.491964]], ""type"": ""MultiPoint""}";La Biblioteca dell’Archiginnasio ha sede nel cinquecentesco palazzo che ospitò l’Università di Bologna dal 1563 al 1803. È la biblioteca civica più importante d’Italia per il valore e la consistenza del suo patrimonio bibliografico, documentario e artist;7500;1512;220;sì;sì;sì;sì;no;https://www.facebook.com/archiginnasiobologna;;;https://www.youtube.com/Archiginnasio;GALVANI-1;GALVANI
Biblioteca Casa di Khaoula;U.I. Biblioteche di pubblica lettura;Via di Corticella, 104 40129 Bologna BO;Navile;sì;sì;sì;0516312721;bibliotecacasakhaoula@comune.bologna.it;https://www.bibliotechebologna.it/objects/biblioteca-casa-di-khaoula;;44.5201102, 11.3475233;"{""coordinates"": [[11.3475233, 44.5201102]], ""type"": ""MultiPoint""}";La biblioteca, ispirata da una bambina immigrata di nome Khaoula che aveva chiesto al Quartiere Navile un luogo dove fare i compiti e leggere, ha come obiettivo specifico quello di favorire l’integrazione delle diverse culture, fornendo a utenti di ogni;885;756;109;sì;sì;sì;sì;sì;https://www.facebook.com/casadikhaoula;;;;ARCOVEGGIO;BOLOGNINA
Biblioteca Scandellara-Mirella Bartolotti;U.I. Biblioteche di pubblica lettura;Via Scandellara, 50, 40138 Bologna BO;San Donato - San Vitale;sì;sì;sì;0512194301;bibliotecascandellara@comune.bologna.it;https://www.bibliotechebologna.it/objects/biblioteca-scandellara-mirella-bartolotti;;44.496762, 11.383378;"{""coordinates"": [[11.383378, 44.496762]], ""type"": ""MultiPoint""}";Biblioteca di pubblica lettura nel territorio del Quartiere San Donato-San Vitale. Organizza attività per le scuole - prestito,  bibliografie, laboratori, incontri con autori, ricerche - e promuove la lettura fin dai primi anni di vita, con un'ampia disp;256;238;40;sì;sì;sì;sì;sì;https://www.facebook.com/bibliotecascandellara;;;;SCANDELLARA;CIRENAICA - MASSARENTI - SCANDELLARA
Biblioteca di Salaborsa;U.I. Biblioteche di pubblica lettura;Piazza del Nettuno, 3, 40124 Bologna BO;Porto - Saragozza;sì;sì;sì;0512194400;bibliotecasalaborsa@comune.bologna.it;https://www.bibliotechebologna.it/biblioteche/biblioteca-salaborsa;https://www.bibliotecasalaborsa.it/;44.4946348, 11.3419323;"{""coordinates"": [[11.3419323, 44.4946348]], ""type"": ""MultiPoint""}";Salaborsa è una biblioteca multimediale di informazione generale che intende documentare la cultura contemporanea attraverso tutti i documenti disponibili: libri, giornali, riviste, mappe, video, cd audio, cd-rom, dvd. È dotata di una infrastruttura ad a;6850;4896;284;sì;sì;sì;sì;sì;https://www.facebook.com/bibliotecasalaborsa;https://twitter.com/BiblioSalaborsa;;;MALPIGHI-1;MALPIGHI
Biblioteca Italiana delle Donne;U.I. Biblioteche di pubblica lettura;Via del Piombo, 5 40125 Bologna BO;Santo Stefano;sì;no;sì;0514299411;bibliotecadelledonne@women.it;https://www.bibliotechebologna.it/objects/biblioteca-italiana-delle-donne;https://bibliotecadelledonne.women.it/;44.488435, 11.355717;"{""coordinates"": [[11.355717, 44.488435]], ""type"": ""MultiPoint""}";La Biblioteca Italiana delle Donne ha sede nell'ex convento di Santa Cristina ed è oggi in Italia la più importante biblioteca specializzata in cultura femminile, studi di genere e femminismo. Nata alla fine degli anni Settanta per iniziativa di un'assoc;660;520;47;sì;sì;no;sì;no;https://www.facebook.com/centrodonne;;https://www.instagram.com/centrodelledonnedibologna/;;GALVANI-2;GALVANI
Biblioteca Lame-Cesare Malservisi;U.I. Biblioteche di pubblica lettura;Via Marco Polo, 21/13 40131 Bologna BO;Navile;sì;no;sì;0516350948;bibliotecalame@comune.bologna.it;https://www.bibliotechebologna.it/objects/biblioteca-lame-cesare-malservisi;;44.5184694, 11.329675;"{""coordinates"": [[11.329675, 44.5184694]], ""type"": ""MultiPoint""}";Biblioteca di pubblica lettura ubicata nel Quartiere Navile. Organizza attività di promozione della lettura in collegamento con le scuole, visite guidate e prestito librario alle classi, incontri sulla storia dell'arte, visite guidate a mostre e monument;476;456;50;sì;sì;no;sì;sì;https://www.facebook.com/BibliotecaLameCesareMalservisi;;;;BEVERARA;BEVERARA
Biblioteca Amilcar Cabral;U.I. Biblioteche di pubblica lettura;Via San Mamolo, 24 40136 Bologna BO;Santo Stefano;sì;no;sì;051581464;amicabr@comune.bologna.it;https://www.bibliotechebologna.it/objects/biblioteca-amilcar-cabral;http://www.centrocabral.com/;44.484162, 11.339304;"{""coordinates"": [[11.339304, 44.484162]], ""type"": ""MultiPoint""}";La Biblioteca Amilcar Cabral – intitolata all’uomo politico guineense, fondatore del Partito Africano per l'Indipendenza della Guinea e di Capo Verde dal Portogallo (Bafatá, 1924-Conakry, 1973) – è specializzata nella storia, nella vita politica, sociale;1000;500;105;sì;no;no;sì;no;https://www.facebook.com/centrocabral;https://twitter.com/CentroCabral;https://www.instagram.com/centrocabral/;https://www.youtube.com/c/BibliotecaAmilcarCabral;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO
Biblioteca Borgo Panigale;U.I. Biblioteche di pubblica lettura;Via Legnano, 2 40132 Bologna BO;Borgo Panigale - Reno;sì;sì;sì;051404930;bibliotecaborgopanigale@comune.bologna.it;https://www.bibliotechebologna.it/objects/biblioteca-borgo-panigale;;44.5226986, 11.265959;"{""coordinates"": [[11.265959, 44.5226986]], ""type"": ""MultiPoint""}";Biblioteca di pubblica lettura ubicata nel Quartiere Borgo Panigale-Reno. Propone letture animate e laboratori per bambini, visite guidate e prestito librario per le classi. Attualmente sono attivi due gruppi di lettura di cui uno per adolescenti, un lab;830;718;80;sì;sì;sì;no;sì;https://www.facebook.com/bibliotecaborgopanigale;;;;DUCATI-VILLAGGIO INA;BORGO PANIGALE
Biblioteca Jorge Luis Borges;U.I. Biblioteche di pubblica lettura;Via dello Scalo, 21/2 40131 Bologna BO;Porto - Saragozza;sì;sì;sì;0512197770;bibliotecaborges@comune.bologna.it;https://www.bibliotechebologna.it/objects/biblioteca-jorge-luis-borges;;44.502343, 11.328296;"{""coordinates"": [[11.328296, 44.502343]], ""type"": ""MultiPoint""}";"La Biblioteca Borges è una biblioteca di pubblica lettura nata all’interno della struttura dell’antico mercato del bestiame della città di Bologna. La biblioteca Borges è una delle due biblioteche del Quartiere Porto-Saragozza. Il riferimento al nome ""Po";2204;1104;102;sì;sì;sì;sì;sì;https://www.facebook.com/bibliotecaborgesbologna;;;;ZANARDI;SAFFI
Biblioteca Orlando Pezzoli;U.I. Biblioteche di pubblica lettura;Via Battindarno, 123, 40133 Bologna BO;Borgo Panigale - Reno;sì;no;sì;0512197544;bibliotecapezzoli@comune.bologna.it;https://www.bibliotechebologna.it/objects/biblioteca-orlando-pezzoli;;44.5021294, 11.2967869;"{""coordinates"": [[11.2967869, 44.5021294]], ""type"": ""MultiPoint""}";Biblioteca di pubblica lettura del Quartiere Borgo Panigale-Reno, intitolata al maestro e partigiano Orlando Pezzoli (Castel Maggiore, 1922), storico della vita culturale del quartiere. La biblioteca è ospitata al 2° piano dell’edificio dove ha sede il Q;971;900;140;sì;sì;sì;sì;sì;https://www.facebook.com/bibliotecaorlandopezzolibologna;;;;BATTINDARNO;BARCA
