Geo Point;Geo Shape;Edizione bilancio partecipativo;Progetto;Quartiere;Luogo;Attuazione;Stato;Descrizione;Beneficiario;Importo;Link;area statistica;zona di prossimità
44.443823320575056, 11.30594657578858;"{""coordinates"": [[11.30594657578858, 44.443823320575056]], ""type"": ""MultiPoint""}";2019/20;Viva i Colli Vivi;Santo Stefano;Parco Cavaioni;in corso di realizzazione;in progettazione;Riqualificazione e recupero dei campi da basket, da pallavolo e della pista di pattinaggio del Parco Cavaioni;I cittadini di Bologna e turisti;136000.0;;PADERNO;OSSERVANZA - PADERNO
44.525405520848835, 11.36244520277969;"{""coordinates"": [[11.36244520277969, 44.525405520848835]], ""type"": ""MultiPoint""}";2019/20;Punto Riuso;Navile;Via Ferrarese 211;in corso di realizzazione;in progettazione;Recuperare ciò che è ancora buono, per far bene al pianeta e alle persone - Il progetto prevede la riqualificazione dell’edificio per trasformarlo in un punto per il riuso;I cittadini tutti, presenti e futuri del pianeta. Si prevede inoltre l’inclusione di persone in grave emarginazione in età adulta e la collaborazione con enti del terzo settore;136000.0;;SAVENA ABBANDONATO;CORTICELLA - DOZZA
44.48250332302659, 11.3129273700523;"{""coordinates"": [[11.3129273700523, 44.48250332302659]], ""type"": ""MultiPoint""}";2018;La collina di città;Porto Saragozza;Lungo il sentiero CAI 914: da villa Spada fino all’area di villa Puglioli e all’area dei 300 scalini;in corso di realizzazione;in corso di approvazione;Verso i 300 scalini tra natura e cultura;Cittadini e cittadine che fanno attività ricreative e di tempo libero all’aperto, persone con disabilità, bambine, bambini e insegnanti;130000.0;;RAVONE;SARAGOZZA - SAN LUCA
44.45747480495234, 11.370108759468813;"{""coordinates"": [[11.370108759468813, 44.45747480495234]], ""type"": ""MultiPoint""}";2018;I Love San Ruffillo;Savena;"Zona verde compresa tra via Toscana, ex-scuole Ferrari e parrocchia di San Ruffillo; scala sottopass";realizzato;finito;"Un nuovo parco urbano in via Toscana e il recupero della scala di accesso alla
""Piazzetta""";"I principali beneficiari sono gli abitanti zona San Ruffillo, via Carelli e via del Pozzo; gli utenti dei servizi e delle attività che gravitano intorno alla piazzetta; i frequentatori della parrocchia; chi frequenta la scuola Santa Caterina [..]";130000.0;;VIA TOSCANA;VIA TOSCANA - S. RUFFILLO - MONTE DONATO
44.490411453471346, 11.401593044466429;"{""coordinates"": [[11.401593044466429, 44.490411453471346]], ""type"": ""MultiPoint""}";2018;Dare luce all'ombra;San Donato - San Vitale;Via Pallavicini, giardino adiacente e percorso pedonale fino a Via Martelli;realizzato;finito, sono in corso di conclusione alcuni dettagli;Manutenzione e cura di via Pallavicini;I beneficiari del progetto sono i residenti, gli operatori e i frequentatori del Centro d’accoglienza Roston, della struttura di accoglienza Casa Willy e del Centro di Cultura Islamica di Bologn [..];65000.0;;CROCE DEL BIACCO;CROCE DEL BIACCO - ROVERI
44.54720447129831, 11.35006896462755;"{""coordinates"": [[11.35006896462755, 44.54720447129831]], ""type"": ""MultiPoint""}";2018;Il giardino del villaggio;Navile;Area verde tra via Bortolotti e via Mengoni;realizzato;finito, sono in corso di conclusione alcuni dettagli;Area verde ludica per incontri intergenerazionali e feste campestri a Corticella;Famiglie con bambini e anziani, tutti i residenti della zona;130000.0;;SAN SAVINO;CORTICELLA - DOZZA
44.502229423856065, 11.329417442174917;"{""coordinates"": [[11.329417442174917, 44.502229423856065]], ""type"": ""MultiPoint""}";2017;Parco Giochi Sensoriale;Porto Saragozza;Zona giochi e zone interne del Giardino Lorusso;realizzato;Sono rimasti esclusi gli interventi relativi alla realizzazione del percorso sensoriale;Percorsi lucidi e percettivi al Giardino Lorusso;La proposta si rivolge a bambini e adulti con disabilità ma contemporaneamente a tutti i bambini e adulti del quartiere, quindi tutti i fruitori del parco delle varie fasce di età, compresi studenti e cittadini che usufruiscono dei servizi delle istitu;130000.0;;ZANARDI;SAFFI
44.52258917931401, 11.266345283243352;"{""coordinates"": [[11.266345283243352, 44.52258917931401]], ""type"": ""MultiPoint""}";2017;Diritto alla bellezza, al gioco e al sogno;Borgo Panigale - Reno;L’intervento è pensato per il Parco dei Pioppi, oltre al recupero del muro della scuola dell’infanzia Mazzini e della rampa di d’accesso per le carrozzine;candidato al voto;;Riqualificazione del parco dei Pioppi e del muro della scuola dell’infanzia Mazzini;Il progetto si rivolge a tutta la cittadinanza: in particolare a famiglie con bambini, a giovani, agli anziani. Tutti i residenti e i frequentatori della zona potranno avere piacere di frequentare il parco nei diversi orari del giorno e della sera anche;100000.0;;DUCATI-VILLAGGIO INA;BORGO PANIGALE
44.522514053386374, 11.26880964873427;"{""coordinates"": [[11.26880964873427, 44.522514053386374]], ""type"": ""MultiPoint""}";2017;Il parco di tutti i bambini;Borgo Panigale - Reno;Parco impianto sportivo ‘Cavina’ zona sud, via Domenico Biancolelli 36, nell'area retrostante i campi da tennis;candidato al voto;;Un parco inclusivo a Borgo Panigale-Reno;I beneficiari saranno ‘tutti’i bambini abitanti nelle zona tra via Legnano e via della Salute e aree limitrofe. ‘Tutti’ i bambini perchè il parco si rivolge anche a bambini con disabilità motoria e sensoriale;100000.0;;DUCATI-VILLAGGIO INA;BORGO PANIGALE
44.52219339770748, 11.264196512660137;"{""coordinates"": [[11.264196512660137, 44.52219339770748]], ""type"": ""MultiPoint""}";2017;Panchine di comunità;Borgo Panigale - Reno;Parco Popieluszko;candidato al voto;;Colori e aggregazione per rendere più vivibile il parco Popieluszko;Il progetto si rivolge a chi abita l’area e a chi la utilizza per le attività commerciali presenti (centro commerciale, baracchina dei gelati, ecc). Il progetto auspica in particolare di coinvolgere giovani, ragazzi, studenti delle scuole medie e del;35000.0;;DUCATI-VILLAGGIO INA;BORGO PANIGALE
44.52281414965532, 11.319928982835645;"{""coordinates"": [[11.319928982835645, 44.52281414965532]], ""type"": ""MultiPoint""}";2017;Zona 30 km/h;Navile;Il progetto sarà realizzato nel nucleo storico conosciuto come Pescarola Ca’Bianca, località Bertalia [..];candidato al voto;;Moderazione del traffico per favorire la sicurezza e la socialità urbana in Pescarola - Bertalia;Cittadini residenti e in generale chi usufruisce della viabilità della zona;130000.0;;PESCAROLA;BERTALIA - NOCE
44.503832706142916, 11.325802482110578;"{""coordinates"": [[11.325802482110578, 44.503832706142916]], ""type"": ""MultiPoint""}";2017;Presidio di memoria delle ex Officine Grandi Riparazioni;Porto Saragozza;Su un tratto del muro prospiciente via Casarini;candidato al voto;;Un intervento artistico in ricordo delle vittime dell'aminato;I beneficiari del progetto sono principalmente gli abitanti dell’area e chi percorre via Casarini. Nello specifico il progetto coinvolgerà anche i lavoratori ed ex lavoratori delle O.M.C. Bologna  (ex O.G.R.) e alunni delle scuole [..;35000.0;;SCALO RAVONE;SAFFI
44.47828644153385, 11.374793680977438;"{""coordinates"": [[11.374793680977438, 44.47828644153385]], ""type"": ""MultiPoint""}";2017;Lunetta Lab;Santo Stefano;Locali dell’ex-centro giovanile Moratello di via Casanova 11, adiacenti alla palestra Valeria Moratello, già in passato sede di attività educative per i ragazzi di età compresa tra gli 11-14 anni;candidato al voto;;Recupero dell'ex-centro di aggregazione giovanile, uno spazio aperto per adolescenti e giovani della Lunetta Gamberini;Adolescenti e giovani fino ai 25 anni (15-25) in modo prevalente, con utilizzo anche da parte dei ragazzi di età compresa tra gli 11e i 14 anni, per eventi in collaborazione con scuole e associazioni, e per utilizzo guidato delle strumentazioni digitali;130000.0;;DAGNINI;MURRI
44.48131981719648, 11.372123736646932;"{""coordinates"": [[11.372123736646932, 44.48131981719648]], ""type"": ""MultiPoint""}";2017;Narrazione e monumento alla felicità urbana;Santo Stefano;Dato il forte coinvolgimento dei giovani, delle scuole e delle famiglie si suggerisce la collinetta sita dietro alla polveriera e in prossimità delle scuole dell'infanzia Rossi;candidato al voto;;Un intervento di arte pubblica per creare uno spazio simbolo per le storie della Lunetta Gamberini;Il progetto si rivolge agli abitanti del parco. Vuole coinvolgere nello specifico: anziani, comunità straniere, nuovi cittadini, gli alunni delle scuole e i docenti delle scuole elementari dell'area nella creazione dell'opera;110000.0;;DAGNINI;MURRI
44.481413581384174, 11.371211251862604;"{""coordinates"": [[11.371211251862604, 44.481413581384174]], ""type"": ""MultiPoint""}";2017;Parco aperto;Santo Stefano;Parco Lunetta Gamberini;candidato al voto;;Spazi senza barriere architettoniche e accessibilità ciclabile per il giardino Lunetta Gamberini;Tutti i fruitori del parco e delle scuole presenti al suo interno, con particolare riferimento alle categorie deboli;130000.0;;DAGNINI;MURRI
