id,Quartiere,room_type,Prezzo,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,number_of_reviews_ltm,license,Zona di prossimità,Area statistica,Coordinate
46352,Porto - Saragozza,Private room,40.0,2,410,2024-03-10,2.5,37,42,,MALPIGHI,MALPIGHI-2,"44.49163, 11.33398"
145779,Porto - Saragozza,Private room,72.0,5,73,2023-12-01,0.48,358,3,,MALPIGHI,MALPIGHI-1,"44.49306, 11.33786"
219878,Santo Stefano,Entire home/apt,130.0,3,169,2024-03-12,1.12,26,10,,GALVANI,GALVANI-2,"44.48787, 11.35392"
266777,Porto - Saragozza,Entire home/apt,75.0,60,51,2020-03-01,0.35,114,0,,MALPIGHI,MALPIGHI-2,"44.49544, 11.33114"
338331,Navile,Private room,56.0,1,18,2023-10-31,0.12,269,10,,BOLOGNINA,VIA FERRARESE,"44.51753, 11.35408"
570880,Porto - Saragozza,Entire home/apt,250.0,2,65,2022-07-03,0.46,315,0,,MALPIGHI,MALPIGHI-2,"44.49239, 11.33567"
648513,Porto - Saragozza,Entire home/apt,80.0,90,11,2023-10-31,0.08,249,2,,MALPIGHI,MALPIGHI-1,"44.4937, 11.34051"
670725,Savena,Private room,86.0,1,6,2023-05-20,0.04,358,1,,LUNGO SAVENA,CORELLI,"44.46969, 11.37699"
684271,Navile,Entire home/apt,120.0,2,4,2018-11-11,0.04,0,0,,BOLOGNINA,ARCOVEGGIO,"44.51693, 11.34565"
742415,San Donato - San Vitale,Entire home/apt,263.0,2,41,2023-12-02,0.34,227,4,CIR: 037006-AT-00216,SAN DONATO VECCHIO,VIA DEL LAVORO,"44.50522, 11.36354"
993645,Porto - Saragozza,Private room,135.0,1,138,2024-03-19,1.06,122,16,037006-BB-00040,SARAGOZZA - SAN LUCA,RAVONE,"44.48874, 11.31987"
1029853,Navile,Entire home/apt,80.0,3,215,2024-03-12,1.61,35,21,,BOLOGNINA,ARCOVEGGIO,"44.519380008926845, 11.341218516898037"
1076605,San Donato - San Vitale,Private room,99.0,2,97,2023-10-22,0.73,184,8,,SAN DONATO VECCHIO,VIA MONDO,"44.5015, 11.37022"
1142503,Santo Stefano,Entire home/apt,70.0,3,510,2024-03-22,3.89,44,43,CIR 037006-AT-03088,GALVANI,GALVANI-2,"44.48715, 11.34036"
1149912,Borgo Panigale - Reno,Private room,31.0,30,167,2023-10-03,1.27,352,2,,BORGO PANIGALE,BORGO CENTRO,"44.51927, 11.27655"
1189302,Santo Stefano,Entire home/apt,76.0,1,345,2024-02-27,2.71,225,10,81243/2020,IRNERIO,IRNERIO-1,"44.49807, 11.34507"
1199947,Santo Stefano,Entire home/apt,73.0,1,146,2023-06-15,1.19,248,3,81243/2020,IRNERIO,IRNERIO-1,"44.49807, 11.34507"
1222983,Porto - Saragozza,Private room,350.0,1,5,2016-03-23,0.04,365,0,,MARCONI,MARCONI-2,"44.49991, 11.33958"
1250727,Porto - Saragozza,Private room,500.0,1,19,2018-03-27,0.15,365,0,,MARCONI,MARCONI-2,"44.49995, 11.33833"
1289329,Santo Stefano,Entire home/apt,130.0,2,11,2023-09-10,0.51,247,6,037006-AT-01975,IRNERIO,IRNERIO-2,"44.493347, 11.352334"
1408005,Santo Stefano,Entire home/apt,93.0,2,412,2024-03-19,3.18,231,62,,IRNERIO,IRNERIO-1,"44.49725, 11.34464"
1451862,Porto - Saragozza,Private room,205.0,1,25,2023-10-12,0.2,122,2,0376006-BB-00040,SARAGOZZA - SAN LUCA,RAVONE,"44.48831, 11.31969"
1538460,Santo Stefano,Entire home/apt,80.0,2,90,2023-08-12,0.71,4,1,81243/2020,IRNERIO,IRNERIO-2,"44.49932, 11.34508"
1588677,Porto - Saragozza,Entire home/apt,62.0,10,114,2023-11-20,0.89,347,8,,MALPIGHI,MALPIGHI-2,"44.4946, 11.33089"
