Hostname,x,y,area statistica,zona di prossimità,geopoint,Attivo
ap-lepida-arboreto-1,11.38713,44.50797,PILASTRO,SAN DONATO NUOVO,"44.50797, 11.38713",Sì
ap-lepida-sfrancesco-1,11.33488,44.49508,MALPIGHI-2,MALPIGHI,"44.49508, 11.33488",Sì
ap-lepida-unita-1,11.34719,44.51161,PIAZZA DELL'UNITA',BOLOGNINA,"44.51161, 11.34719",Sì
ap-lepida-verdi-1,11.3505238294601,44.4962604407939,IRNERIO-2,IRNERIO,"44.4962604407939, 11.3505238294601",Sì
ap-lepida-verdi-2,11.350856423378,44.4963752332499,IRNERIO-2,IRNERIO,"44.4963752332499, 11.350856423378",Sì
ap-lepida-verdi-3,11.3509851694107,44.4964976782872,IRNERIO-2,IRNERIO,"44.4964976782872, 11.3509851694107",Sì
Archi-B-CortileInterno,11.3433945179,44.4915728892,GALVANI-1,GALVANI,"44.4915728892, 11.3433945179",Sì
Aster1,11.34898,44.48318,SAN MICHELE IN BOSCO,OSSERVANZA - PADERNO,"44.48318, 11.34898",Sì
Autostazione-A-Piazzale,11.3464200497,44.5041538088,IRNERIO-2,IRNERIO,"44.5041538088, 11.3464200497",Sì
Biblioteca Spina,11.3946461678,44.5111739144,PILASTRO,SAN DONATO NUOVO,"44.5111739144, 11.3946461678",Sì
BON-A05-Sud,11.339951,44.509636,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.509636, 11.339951",Sì
BON-B00-Esterno,11.3400685787201,44.5096704969539,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.5096704969539, 11.3400685787201",Sì
Caselvatica-C-PianoTerra,11.33388,44.49238,MALPIGHI-2,MALPIGHI,"44.49238, 11.33388",Sì
Cineteca-AzzoG-C-SalettaVip,11.3348919153,44.5027076003,MARCONI-2,MARCONI,"44.5027076003, 11.3348919153",Sì
Cineteca-AzzoG-D-PPasolini,11.3345861435,44.5022599571,MARCONI-2,MARCONI,"44.5022599571, 11.3345861435",Sì
Cineteca-ReEnzo-BookShop,11.34323,44.49429,GALVANI-1,GALVANI,"44.49429, 11.34323",Sì
cwmtik-battindarno123-2,11.2964236736,44.5023326515,BATTINDARNO,BARCA,"44.5023326515, 11.2964236736",Sì
cwmtik-battindarno123-6-salaconsiglio,11.2967669964,44.5022255228,BATTINDARNO,BARCA,"44.5022255228, 11.2967669964",Sì
cwmtik-bolognetti2-fablab,11.3544585907,44.4936432269,IRNERIO-2,IRNERIO,"44.4936432269, 11.3544585907",Sì
cwmtik-bolognetti2-gaminglab,11.3544585907,44.4936432269,IRNERIO-2,IRNERIO,"44.4936432269, 11.3544585907",Sì
cwmtik-bolognetti2-mainhall,11.3544585907,44.4936432269,IRNERIO-2,IRNERIO,"44.4936432269, 11.3544585907",Sì
cwmtik-carducci5-biblioteca,11.3573849201,44.4881593492,GALVANI-2,GALVANI,"44.4881593492, 11.3573849201",Sì
cwmtik-carducci5-museo,11.3572561741,44.4883315617,GALVANI-2,GALVANI,"44.4883315617, 11.3572561741",Sì
cwmtik-casaglia7-b-1,11.3152527809,44.4879373856,RAVONE,SARAGOZZA - SAN LUCA,"44.4879373856, 11.3152527809",Sì
