Anno;Codice Area;Descrizione Area;Quartiere;Zona;Dimensione Familiare;Numero Famiglie;Zona di prossimità
2016;01;Lavino di Mezzo;Borgo Panigale - Reno;Borgo Panigale;3 e oltre;61;BIRRA - BARGELLINO - LAVINO
2016;03;Bargellino;Borgo Panigale - Reno;Borgo Panigale;1;20;BIRRA - BARGELLINO - LAVINO
2016;03;Bargellino;Borgo Panigale - Reno;Borgo Panigale;2;9;BIRRA - BARGELLINO - LAVINO
2016;03;Bargellino;Borgo Panigale - Reno;Borgo Panigale;3 e oltre;14;BIRRA - BARGELLINO - LAVINO
2016;04;Aeroporto;Borgo Panigale - Reno;Borgo Panigale;1;101;BIRRA - BARGELLINO - LAVINO
2016;05;La Birra;Borgo Panigale - Reno;Borgo Panigale;1;460;BIRRA - BARGELLINO - LAVINO
2016;06;Lungo Reno;Borgo Panigale - Reno;Borgo Panigale;3 e oltre;2;BIRRA - BARGELLINO - LAVINO
2016;08;Borgo Centro;Borgo Panigale - Reno;Borgo Panigale;1;1929;BORGO PANIGALE
2016;10;Rigosa;Borgo Panigale - Reno;Borgo Panigale;2;120;BORGO PANIGALE
2016;12;Caserme Rosse-Manifattura;Navile;Bolognina;2;296;CORTICELLA - DOZZA
2016;14;Arcoveggio;Navile;Bolognina;1;3256;BOLOGNINA
2016;15;Via Ferrarese;Navile;Bolognina;1;3427;BOLOGNINA
2016;16;Ex Mercato Ortofrutticolo;Navile;Bolognina;2;79;BOLOGNINA
2016;16;Ex Mercato Ortofrutticolo;Navile;Bolognina;3 e oltre;79;BOLOGNINA
2016;17;Piazza dell'Unita';Navile;Bolognina;2;1188;BOLOGNINA
2016;18;San Savino;Navile;Corticella;1;2020;CORTICELLA - DOZZA
2016;18;San Savino;Navile;Corticella;2;1327;CORTICELLA - DOZZA
2016;19;Savena Abbandonato;Navile;Corticella;3 e oltre;130;CORTICELLA - DOZZA
2016;20;Croce Coperta;Navile;Corticella;2;824;CORTICELLA - DOZZA
2016;21;Mulino del Gomito;Navile;Corticella;1;78;CORTICELLA - DOZZA
2016;21;Mulino del Gomito;Navile;Corticella;2;46;CORTICELLA - DOZZA
2016;21;Mulino del Gomito;Navile;Corticella;3 e oltre;56;CORTICELLA - DOZZA
2016;22;La Dozza;Navile;Corticella;3 e oltre;236;CORTICELLA - DOZZA
2016;24;La Noce;Navile;Lame;2;219;BERTALIA - NOCE
2016;24;La Noce;Navile;Lame;3 e oltre;229;BERTALIA - NOCE
2016;25;Tiro A Segno;Navile;Lame;3 e oltre;17;BERTALIA - NOCE
2016;26;Pescarola;Navile;Lame;1;913;BERTALIA - NOCE
2016;27;Lazzaretto;Navile;Lame;1;141;BERTALIA - NOCE
2016;29;Marconi-2;Porto - Saragozza;Marconi;2;1514;MARCONI
2016;30;Marconi-1;Porto - Saragozza;Marconi;2;253;MALPIGHI
2016;33;Zanardi;Porto - Saragozza;Saffi;1;2004;SAFFI
2016;34;Velodromo;Porto - Saragozza;Saffi;1;1664;SAFFI
2016;34;Velodromo;Porto - Saragozza;Saffi;2;850;SAFFI
2016;35;Via Vittorio Veneto;Porto - Saragozza;Saffi;1;1871;SAFFI
2016;35;Via Vittorio Veneto;Porto - Saragozza;Saffi;2;698;SAFFI
2016;36;Villaggio della Barca;Borgo Panigale - Reno;Barca;2;842;BARCA
2016;37;Battindarno;Borgo Panigale - Reno;Barca;3 e oltre;1141;BARCA
2016;38;Canale di Reno;Borgo Panigale - Reno;Barca;2;972;BARCA
2016;39;Agucchi;Borgo Panigale - Reno;Santa Viola;3 e oltre;566;SANTA VIOLA
2016;41;Cadriano-Calamosco;San Donato - San Vitale;San Donato;1;149;SAN DONATO NUOVO
2016;42;Fiera;San Donato - San Vitale;San Donato;1;4;SAN DONATO VECCHIO
2016;43;San Donnino;San Donato - San Vitale;San Donato;2;467;SAN DONATO VECCHIO
2016;45;CAAB;San Donato - San Vitale;San Donato;3 e oltre;41;SAN DONATO NUOVO
2016;46;Scalo Merci San Donato;San Donato - San Vitale;San Donato;3 e oltre;2;SAN DONATO NUOVO
2016;47;Via del Lavoro;San Donato - San Vitale;San Donato;2;1048;SAN DONATO VECCHIO
2016;48;Michelino;San Donato - San Vitale;San Donato;2;597;SAN DONATO VECCHIO
2016;50;Osservanza;Santo Stefano;Colli;3 e oltre;591;OSSERVANZA - PADERNO
2016;51;San Michele in Bosco;Santo Stefano;Colli;1;530;OSSERVANZA - PADERNO
2016;52;Paderno;Santo Stefano;Colli;3 e oltre;238;OSSERVANZA - PADERNO
2016;53;Galvani-1;Santo Stefano;Galvani;1;651;GALVANI
2016;54;Galvani-2;Santo Stefano;Galvani;2;1344;GALVANI
2016;58;Dagnini;Santo Stefano;Murri;1;2710;MURRI
2016;59;Chiesanuova;Santo Stefano;Murri;2;1014;MURRI
2016;59;Chiesanuova;Santo Stefano;Murri;3 e oltre;907;MURRI
2016;60;Irnerio-1;Santo Stefano;Irnerio;2;427;IRNERIO
2016;60;Irnerio-1;Santo Stefano;Irnerio;3 e oltre;350;IRNERIO
2016;61;Irnerio-2;Santo Stefano;Irnerio;1;4100;IRNERIO
