Nome biblioteca;Indirizzo;Tipologia;Quartiere;Documenti posseduti al 31/12/2021;Documenti posseduti al 31/12/2022;Prestiti locali 2021;Prestiti locali 2022;Prestiti a domicilio 2021;Prestiti a domicilio 2022;Prestiti interbibliotecari 2021;Prestiti interbibliotecari 2022;Prestiti intersistemici 2021;Prestiti intersistemici 2022;Latitudine;Longitudine;Documenti posseduti al 31/12/2023;Prestiti locali 2023;Prestiti a domicilio 2023;Prestiti interbibliotecari 2023;Prestiti intersistemici 2023;Zona di prossimità;geopoint
Biblioteca Borgo Panigale-Miriam Ridolfi;Via Legnano, 2 40132 Bologna BO;U.I. Biblioteche di pubblica lettura;Borgo Panigale - Reno;40249;39588;17847;23669;38;99;11;25;1145;1647;44.5226986;11.265959;38312.0;24217.0;4.0;18.0;2008.0;BORGO PANIGALE;44.5226986, 11.265959
Biblioteca dell'Istituto Storico Parri Emilia-Romagna;Via Sant'Isaia, 20/b 40123 Bologna BO;U.I. Biblioteche di ricerca e conservazione;Porto - Saragozza;105955;101103;1374;1805;0;0;0;12;1;0;44.493636;11.333659;102451.0;2461.0;0.0;0.0;0.0;MALPIGHI;44.493636, 11.333659
Biblioteca Luigi Spina;Via Tommaso Casini, 5, 40127 Bologna BO;U.I. Biblioteche di pubblica lettura;San Donato - San Vitale;24394;25875;15113;17406;119;79;15;11;968;1188;44.511076;11.394654;26899.0;17895.0;107.0;5.0;1556.0;SAN DONATO NUOVO;44.511076, 11.394654
Biblioteca Scandellara-Mirella Bartolotti;Via Scandellara, 50, 40138 Bologna BO;U.I. Biblioteche di pubblica lettura;San Donato - San Vitale;27373;27545;20586;25719;536;136;4;4;838;1035;44.496762;11.383378;28048.0;26595.0;125.0;14.0;1302.0;CIRENAICA - MASSARENTI - SCANDELLARA;44.496762, 11.383378
Biblioteca-archivio di Casa Carducci;Piazza GiosuÃ¨ Carducci, 5, 40125 Bologna BO;U.I. Biblioteche di ricerca e conservazione;Santo Stefano;164701;168946;0;10;0;0;0;1;0;1;44.488117;11.357348;169798.0;13.0;0.0;0.0;0.0;GALVANI;44.488117, 11.357348
Biblioteca Casa di Khaoula;Via di Corticella, 104 40129 Bologna BO;U.I. Biblioteche di pubblica lettura;Navile;27879;29812;13983;18902;226;11;38;25;1098;1288;44.5201102;11.3475233;31376.0;23488.0;6.0;25.0;1502.0;BOLOGNINA;44.5201102, 11.3475233
Biblioteca Lame-Cesare Malservisi;Via Marco Polo, 21/13 40131 Bologna BO;U.I. Biblioteche di pubblica lettura;Navile;33607;33713;18586;21187;223;50;26;26;1211;1533;44.5184694;11.329675;34117.0;22476.0;28.0;20.0;1923.0;BEVERARA;44.5184694, 11.329675
Biblioteca Natalia Ginzburg;Via Genova, 10, 40139 Bologna BO;U.I. Biblioteche di pubblica lettura;Savena;61533;61065;38720;48491;464;71;122;86;1238;1313;44.473998;11.391785;62315.0;54178.0;78.0;62.0;1656.0;PONTEVECCHIO - MAZZINI;44.473998, 11.391785
Biblioteca Orlando Pezzoli;Via Battindarno, 123, 40133 Bologna BO;U.I. Biblioteche di pubblica lettura;Borgo Panigale - Reno;38558;39860;23107;33448;344;167;0;16;1059;1259;44.5021294;11.2967869;40044.0;36533.0;189.0;6.0;1585.0;BARCA;44.5021294, 11.2967869
Biblioteca Amilcar Cabral;Via San Mamolo, 24 40136 Bologna BO;U.I. Biblioteche di pubblica lettura;Santo Stefano;48307;49491;2625;3217;15;0;72;103;219;249;44.484162;11.339304;50198.0;3812.0;0.0;88.0;376.0;OSSERVANZA - PADERNO;44.484162, 11.339304
Biblioteca Corticella-Luigi Fabbri;Via Massimo Gorki, 14 40128 Bologna BO;U.I. Biblioteche di pubblica lettura;Navile;49689;50962;20901;22460;476;589;37;35;1398;1503;44.5461834;11.3597844;51850.0;25831.0;82.0;38.0;1893.0;CORTICELLA - DOZZA;44.5461834, 11.3597844
Biblioteca dell'Archiginnasio;Piazza Galvani, 1 40124 Bologna BO;U.I. Biblioteche di ricerca e conservazione;Santo Stefano;1247458;1271567;3542;3798;12;3;267;254;258;362;44.491964;11.343657;1296006.0;3887.0;1.0;299.0;449.0;GALVANI;44.491964, 11.343657
Biblioteca di Salaborsa;Piazza del Nettuno, 3, 40124 Bologna BO;U.I. Biblioteche di pubblica lettura;Porto - Saragozza;239003;240226;160832;239021;475;79;293;231;3167;3170;44.4946348;11.3419323;245215.0;247237.0;78.0;219.0;4137.0;MALPIGHI;44.4946348, 11.3419323
Biblioteca di Salaborsa Ragazzi;Piazza del Nettuno, 3, 40124 Bologna BO;U.I. Biblioteche di pubblica lettura;Porto - Saragozza;85730;87982;51770;91391;397;38;5;7;854;1047;44.4946348;11.3419323;90399.0;98533.0;1.0;2.0;1347.0;MALPIGHI;44.4946348, 11.3419323
Biblioteca Italiana delle Donne;Via del Piombo, 5 40125 Bologna BO;U.I. Biblioteche di pubblica lettura;Santo Stefano;41701;44089;3576;4963;0;2;42;31;171;261;44.488435;11.355717;45017.0;6075.0;25.0;39.0;317.0;GALVANI;44.488435, 11.355717
Biblioteca Jorge Luis Borges;Via dello Scalo, 21/2 40131 Bologna BO;U.I. Biblioteche di pubblica lettura;Porto - Saragozza;50751;52618;13946;21792;243;99;54;26;1305;1411;44.502343;11.328296;54438.0;25924.0;75.0;25.0;1889.0;SAFFI;44.502343, 11.328296
Biblioteca multimediale Roberto Ruffilli. Biblioteca Salaborsa LAB di Vicolo Bolognetti;Vicolo Bolognetti, 2, 40125 Bologna BO;U.I. Biblioteche di pubblica lettura;Santo Stefano;13264;11766;0;14;0;0;0;0;0;0;44.493614;11.354375;12814.0;1338.0;0.0;3.0;120.0;IRNERIO;44.493614, 11.354375
Biblioteca Oriano Tassinari Clò;Via di Casaglia, 7, 40135 Bologna BO;U.I. Biblioteche di pubblica lettura;Porto - Saragozza;57849;59952;8165;7089;297;97;3;5;454;301;44.487272;11.315088;62867.0;24208.0;116.0;22.0;1313.0;SARAGOZZA - SAN LUCA;44.487272, 11.315088
