id;Nome;Descrizione;Indirizzo;Posti letto;Quartiere;Orario per pubblico;Contatti;url;Area statistica;Zona di prossimità;Coordinate
carpentiere;Carpentiere;La residenza dispone di 72 posti letto distribuiti su quattro piani , di cui due attrezzati per ospitare studenti con disabilità.  È composta da appartamenti da tre, da quattro, da cinque e da sei inquilini, con sistemazioni in camere singole e doppie.;Via del Carpentiere, 58;72;San Donato - San Vitale;La portineria è disponibile presso la Residenza Via Larga 2 Orari di apertura: dal Lunedì al Venerdì 08.00 - 24.00 Sabato 16.00 - 24.00 Domenica e festivi 16.00 - 20.00;0516012784;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/carpentiere;VIA LARGA;CIRENAICA - MASSARENTI - SCANDELLARA;44.5015996, 11.3906103
fioravanti;Fioravanti;La residenza dispone di 240 posti letto distribuiti su quattro piani, di cui ventiquattro attrezzati per ospitare studenti con disabilità. È composta di monolocali singoli (a), appartamenti da due, tre e sette inquilini (b) (c) e stanze (d), con sistemazioni in camere singole (a), (b), (c), (d) e doppie (c), (d).;Via Greta Garbo, 15;240;Navile;La portineria è aperta 24 ore su 24;051358143;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/fioravanti;EX MERCATO ORTOFRUTTICOLO;BOLOGNINA;44.513817149999994, 11.335567729493452
galvani;Galvani;La residenza dispone di 131 posti letto distribuiti su tre piani. È composta di appartamenti da cinque e da sette inquilini, con sistemazioni in camere singole e doppie.;Viale De Nicola, 52;131;Borgo Panigale - Reno;La portineria è aperta: dal Lunedì al Venerdì 8.00 - 21.00 Sabato e festivi 14.00 - 21.00;051564262;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/galvani;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;44.5051871, 11.2775152
malpighi;Malpighi;La residenza dispone di 104 posti letto distribuiti su sette piani. È composta di appartamenti da tre, da quattro, da cinque, da sette e da otto inquilini, con sistemazioni in camere singole, doppie e triple.;Via Caduti di Casteldebole, 57;104;Borgo Panigale - Reno;La portineria è aperta: dal Lunedì al Giovedì 8.00 - 14.00 Venerdì, Sabato e festivi 14.00 - 20.00;051562688;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/malpighi;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;44.4991549, 11.2752247
miramonte;Miramonte;La residenza dispone di 25 posti letto distribuiti su quattro piani . È composta di stanze, con sistemazioni in camere singole e doppie.;Via Miramonte, 17;25;Santo Stefano;La portineria è aperta: Lunedì, Martedì e Mercoledì 8.00 - 14.00 Venerdì e Sabato 14.00 - 21.00;0516448661;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/miramonte;GALVANI-2;GALVANI;44.4865398, 11.3420028
umberto_eco;Umberto Eco;La residenza dispone di 40 posti letto distribuiti su due piani, di cui quattro attrezzati per ospitare studenti con disabilità. È composta di stanze, con sistemazioni in camere doppie.;Via San Petronio Vecchio, 30/32;40;Santo Stefano;La portineria è aperta: dal Lunedì alla Domenica 8.00 - 1.00;3426776703;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/umberto_eco;GALVANI-2;GALVANI;44.4897939, 11.3527802
via_larga;Via Larga;La residenza dispone di 30 posti letto distribuiti su cinque piani, di cui due attrezzati per ospitare studenti con disabilità. È composta di monolocali singoli e appartamenti da due e otto inquilini, con sistemazioni in camere singole e doppie.;Via del Carpentiere, 50;30;San Donato - San Vitale;La portineria è disponibile presso la residenza Via Larga 2 Orari di apertura: dal Lunedì al Venerdì 08.00 - 24.00 Sabato 16.00 - 24.00 Domenica e festivi 16.00 - 20.00;0516012784;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/via_larga;VIA LARGA;CIRENAICA - MASSARENTI - SCANDELLARA;44.5016445, 11.3896185
carducci;Carducci;La residenza dispone di 284 posti letto distribuiti su dieci piani. È composta di monolocali da due inquilini, con sistemazioni in camere doppie.;Via Antonio Gandusio, 14;284;San Donato - San Vitale;La portineria è aperta 24 ore su 24;051250038;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/carducci;VIA DEL LAVORO;SAN DONATO VECCHIO;44.5045497, 11.354704
ghigi;Ghigi;La residenza dispone di 142 posti letto distribuiti su due piani, di cui quindici attrezzati per ospitare studenti con disabilità. È composta di appartamenti da due, da tre, da quattro, da cinque e da sei inquilini, con sistemazioni in camere singole e doppie.;Via Lodovico Berti, 2/2;142;Porto - Saragozza;La portineria è aperta 24 ore su 24;051522613;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/ghigi;ZANARDI;SAFFI;44.5015932, 11.3300021
marconi;Marconi;La residenza dispone di 53 posti letto distribuiti su sei piani . È composta di appartamenti da cinque e da sei inquilini, con sistemazioni in camere singole e doppie.;Via del Pilastro, 15/5;53;San Donato - San Vitale;La portineria è aperta: dal Lunedì al Giovedì 8.00 - 14.00 Venerdì, Sabato e festivi 14.00 - 21.00;051517115;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/marconi;PILASTRO;SAN DONATO NUOVO;44.5080785, 11.3938239
morgagni;Morgagni;La residenza dispone di 59 posti letto distribuiti su quattro piani, di cui sette attrezzati per ospitare studenti con disabilità.  È composta di monolocali da due inquilini e stanze, con sistemazioni in camere singole e doppie.;Largo Trombetti, 1/2;59;Santo Stefano;La portineria è aperta 24 ore su 24;051268370;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/morgagni;IRNERIO-2;IRNERIO;44.4961535, 11.3518154
san_donato;San Donato;La residenza dispone di 55 posti letto distribuiti su due piani, di cui due attrezzati per ospitare studenti con disabilità. È composta di appartamenti da tre, da sei, da sette, da otto e da dieci inquilini, con sistemazioni in camere singole.;Via Paolo Fabbri, 131 Cirenaica;55;San Donato - San Vitale;La portineria è disponibile presso la residenza Forni. Orari di apertura: Lunedì, Martedì e Giovedì 08.00 – 17.00 Mercoledì 08.00 – 14.00 Venerdì 09.00 – 21.00 Sabato e festivi 14 .00 – 20.00 Nei giorni di Lunedì, Martedì, Giovedì e Venerdì vengono effettuati due sopralluoghi, uno di mattina e uno di pomeriggio.;051223841;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/san_donato;CIRENAICA;CIRENAICA - MASSARENTI - SCANDELLARA;44.4951285, 11.3627841
via_larga_2;Via Larga 2;La residenza dispone di 86 posti letto distribuiti su cinque piani, di cui nove attrezzati per ospitare studenti con disabilità. È composta di monolocali singoli e da due inquilini e appartamenti da tre inquilini, con sistemazioni in camere singole e doppie.;Via del Carpentiere, 34;86;San Donato - San Vitale;La portineria è aperta: dal Lunedì al Venerdì 08.00 - 24.00 Sabato 16.00 - 24.00 Domenica e festivi 16.00 - 20.00;0516012784;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/via_larga_2;VIA LARGA;CIRENAICA - MASSARENTI - SCANDELLARA;44.50123, 11.3900904
barontini;Barontini;La residenza dispone di 30 posti letto distribuiti su sei piani. È composta di monolocali doppi e appartamenti da tre inquilini con sistemazioni in camere singole e doppie.;Via Cencetti, 3;30;San Donato - San Vitale;La portineria è disponibile presso la residenza Forni. Orari di apertura: Lunedì, Martedì e Giovedì 08.00 – 17.00 Mercoledì 08.00 – 14.00 Venerdì 09.00 – 21.00 Sabato e festivi 14 .00 – 20.00 Nei giorni di Lunedì, Martedì, Giovedì e Venerdì vengono effettuati due sopralluoghi, uno di mattina e uno di pomeriggio.;051223841;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/barontini;CIRENAICA;CIRENAICA - MASSARENTI - SCANDELLARA;44.4985865, 11.35991
castellaccio;Castellaccio;La residenza dispone di 51 posti letto distribuiti su quattro piani , di cui tre attrezzati per ospitare studenti con disabilità.  È composta di monolocali singoli e da due inquilini, con sistemazioni in camere singole e doppie.;Via Castellaccio, 3;51;Porto - Saragozza;La portineria è aperta: dal Lunedì al Giovedì 8.00 - 13.00 Venerdì e Sabato 14.00 - 21.00 Domenica e festivi 14.00 - 20.00;0516494235;https://www.er-go.it/esplora-i-benefici/benefici-erogati-da-er.go/alloggio/bologna/castellaccio;MARCONI-2;MARCONI;44.5001004, 11.3371587
