CIVKEY;QUARTIERE;Indirizzo scuola;Geo Point;Geo Shape;NOME;GESTIONE;SERVIZIO;ISTITUZIONE_SCOLASTICA;CIVICO;SUBCIV;COD VIA;ANNO SCOLASTICO;GEO_ID;area statistica
631000028050;Navile;VIA FRANCESCO ZANARDI;44.51014212885658, 11.326259717663845;"{""coordinates"": [11.326259717663845, 44.51014212885658], ""type"": ""Point""}";POSTE BIMBI;PRIVATA CONVENZIONATA;NIDO D'INFANZIA;POSTE BIMBI;28;5;63100;2024-2025;275;BEVERARA
07600000500C;Santo Stefano;VIA DEI BERSAGLIERI;44.49052319549023, 11.352837503393575;"{""coordinates"": [11.352837503393575, 44.49052319549023], ""type"": ""Point""}";EDUCARE E CRESCERE;PRIVATA CONVENZIONATA;NIDO D'INFANZIA;EDUCARE E CRESCERE;5;C;7600;2024-2025;319;GALVANI-2
538500010020;San Donato - San Vitale;VIA SCIPIONE DAL FERRO;44.494216209035116, 11.368018152894647;"{""coordinates"": [11.368018152894647, 44.494216209035116], ""type"": ""Point""}";MANZONI;PRIVATA PARITARIA;SCUOLA SECONDARIA DI SECONDO GRADO;;10;2;53850;2024-2025;339;CIRENAICA
352500020020;Navile;VIA MARCO POLO;44.51788213392621, 11.327960815759836;"{""coordinates"": [11.327960815759836, 44.51788213392621], ""type"": ""Point""}";MALPIGHI (SEDE DISTACCATA DEL I.I.S. MARCELLO MALPIGHI DI CREVALCORE);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;;20;2;35250;2024-2025;341;BEVERARA
037500055000;Porto - Saragozza;VIA D'AZEGLIO;44.48818856479583, 11.339576848718103;"{""coordinates"": [11.339576848718103, 44.48818856479583], ""type"": ""Point""}";COLLEGIO SAN LUIGI;PRIVATA PARITARIA;SCUOLA SECONDARIA DI SECONDO GRADO;;55;;3750;2024-2025;349;MALPIGHI-2
352000040000;Porto - Saragozza;VIA GUGLIELMO MARCONI;44.50130109386025, 11.339325405243633;"{""coordinates"": [11.339325405243633, 44.50130109386025], ""type"": ""Point""}";ALDROVANDI RUBBIANI (SEDE CENTRALE);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;;40;;35200;2024-2025;350;MARCONI-2
486000032000;Santo Stefano;VIA VITTORIO PUTTI;44.48030737733054, 11.345707836131602;"{""coordinates"": [11.345707836131602, 44.48030737733054], ""type"": ""Point""}";VILLA TERESA;COMUNALE;NIDO D'INFANZIA;COMUNE DI BOLOGNA;32;;48600;2024-2025;315;SAN MICHELE IN BOSCO
586000148000;Savena;VIA TOSCANA;44.45649699762681, 11.370067867468267;"{""coordinates"": [11.370067867468267, 44.45649699762681], ""type"": ""Point""}";FARLOTTINE - SAN DOMENICO SUCCURSALE;PRIVATA CONVENZIONATA;SCUOLA DELL'INFANZIA;FARLOTTINE - SAN DOMENICO;148;;58600;2024-2025;242;VIA TOSCANA
586000148000;Savena;VIA TOSCANA;44.45649699762681, 11.370067867468267;"{""coordinates"": [11.370067867468267, 44.45649699762681], ""type"": ""Point""}";FARLOTTINE - SAN DOMENICO SUCCURSALE;PRIVATA PARITARIA;SCUOLA PRIMARIA;FARLOTTINE - SAN DOMENICO;148;;58600;2024-2025;243;VIA TOSCANA
372000001000;Santo Stefano;VIA DE' MATTUIANI;44.48907279059153, 11.342427660536588;"{""coordinates"": [11.342427660536588, 44.48907279059153], ""type"": ""Point""}";TOVAGLIE;COMUNALE;NIDO D'INFANZIA;COMUNE DI BOLOGNA;1;;37200;2024-2025;314;GALVANI-2
30400000202A;Santo Stefano;VIA IRNERIO;44.50302319738268, 11.346214030927708;"{""coordinates"": [11.346214030927708, 44.50302319738268], ""type"": ""Point""}";GIACCAGLIA BETTI;COMUNALE;NIDO D'INFANZIA;COMUNE DI BOLOGNA;2;2A;30400;2024-2025;309;IRNERIO-2
352500060000;Navile;VIA MARCO POLO;44.52382307008509, 11.328762369520664;"{""coordinates"": [11.328762369520664, 44.52382307008509], ""type"": ""Point""}";L'ISOLA DEI TESORI;PRIVATA CONVENZIONATA;NIDO D'INFANZIA;L'ISOLA DEI TESORI;60;;35250;2024-2025;272;BEVERARA
514200012020;Savena;VIA ROSELLE;44.486139187762795, 11.382187196315158;"{""coordinates"": [11.382187196315158, 44.486139187762795], ""type"": ""Point""}";ROSELLE;COMUNALE;NIDO D'INFANZIA;COMUNE DI BOLOGNA;12;2;51420;2024-2025;326;FOSSOLO
360500002000;Porto - Saragozza;VIA PAOLO G. MARTINI;44.49447571170796, 11.316171011767954;"{""coordinates"": [11.316171011767954, 44.49447571170796], ""type"": ""Point""}";MARTINI;COMUNALE;NIDO D'INFANZIA;COMUNE DI BOLOGNA;2;;36050;2024-2025;280;XXI APRILE
282500025020;Savena;VIA ENRICO GOLINELLI;44.47918250418779, 11.396795622490718;"{""coordinates"": [11.396795622490718, 44.47918250418779], ""type"": ""Point""}";CARLI;COMUNALE;NIDO D'INFANZIA;COMUNE DI BOLOGNA;25;2;28250;2024-2025;322;DUE MADONNE
